gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
694315497	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414183564735OnppGG8dY8Wg8xe										cc-by	
694444545	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441426085372HR2DmWrRZS8ewsYX										cc-by	
694729143	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441419777665EdRARzh1yMiFpcLV										cc-by	
475052196	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/-W/12/12/B_-W_12127%20-01%200.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=150926									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
1078798506	StillImage	image/jpeg	http://pictures.snsb.info/TUBafrplantscoll/web/TUB-0006/TUB-000616_20061031_085246.jpg											
1078822921	StillImage	image/jpeg	http://pictures.snsb.info/TUBafrplantscoll/web/TUB-0006/TUB-000626_20061030_171639.jpg											
1055776862	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/2b874009c0ca53243194c60bf416b08c498b5e8e/contents/preview		BM000593517								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1055776862	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/d4faa0183c4883c6244f78eb309271bc3726bfda/contents/preview		BM000593517								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1057222832	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/42fc060cff9a8ebc55fee1e9f42acfe1268ae545/contents/preview		BM000593511								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1057222832	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/7d3fb2934192717578b5dcdc79f0a89d780513f2/contents/preview		BM000593511								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1144617542				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308196&dataTabIndex=1										
1144617568				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308216&dataTabIndex=1										
1230822357				http://herbarium.univie.ac.at/database/image.php?filename=94262&method=show										
1230822548				http://herbarium.univie.ac.at/database/image.php?filename=94243&method=show										
1212574343	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1423213893992ydI1lIqM5m3t6eh9					V. Andro					cc-by-nc-nd	
367043760				http://herbarium.univie.ac.at/database/image.php?filename=94129&method=show										
453639845	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/-W/12/13/B_-W_12131%20-00%200__3.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=127977									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
667520530	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385872584Aror8OIOwZmWrxje										cc-by	
667520535	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385896054V6WJHa75fQdPmaqJ										cc-by	
667520549	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413858956371QyWhkEOksdZIoaT										cc-by	
667616588	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385772297fkndUPRol35Vjc9o										cc-by	
667681411	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385895875VCAWfpUQC8CXsg5U										cc-by	
864897710	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/83/B_10_0153838.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23727									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
864897764	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/54/90/B_10_0154905.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23847									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
931038163	StillImage	image/jpeg	http://archive.biodiversity.ca/herbarium/hsheet6/6270.jpg											
694315492	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441426085318TtCwnp6O9qQvvegN										cc-by	
694315496	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441426085276F9cYRIk06oCZbTky										cc-by	
144865770	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/80/B_10_0153809.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23661									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865845	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/54/90/B_10_0154904.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23845									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
1144617546				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308203&dataTabIndex=1										
1144617575				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308212&dataTabIndex=1										
667517736	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385872801ZGfc0uTTbZujeFEV										cc-by	
667538147	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385740577JRtrLLX4MfR0qzXz										cc-by	
667616198	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385916212GCgj6q26ioAonaBu										cc-by	
667669406	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385739730Bs3sxTI4hV4RvZ1n										cc-by	
694729229	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414196698339Kfw80Bv1NsddsbE										cc-by	
1230822373				http://herbarium.univie.ac.at/database/image.php?filename=94205&method=show										
144865792	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/86/B_10_0153867.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23792									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865835	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/84/B_10_0153840.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23732									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865837	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/82/B_10_0153824.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23701									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144894534	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/54/85/B_10_0154853.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23717									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
864897711	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/87/B_10_0153873.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23804									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
874700955				http://herbarium.univie.ac.at/database/image.php?filename=165247&method=show										
367043685				http://herbarium.univie.ac.at/database/image.php?filename=94213&method=show										
367043691				http://herbarium.univie.ac.at/database/image.php?filename=94117&method=show										
367043758				http://herbarium.univie.ac.at/database/image.php?filename=94124&method=show										
887254862				http://collections.mnh.si.edu/media/index.php?irn=10119017										
1099023504	StillImage	image/jpeg	http://pictures.snsb.info/BSMafrplantscoll/M-0108/M-0108069_20051227_172608.jpg										CC BY-SA 3.0	
1099023496	StillImage	image/jpeg	http://pictures.snsb.info/BSMafrplantscoll/M-0108/M-0108063_20051227_181418.jpg										CC BY-SA 3.0	
912326789				http://specimens.kew.org/herbarium/K000390399									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206475	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35360.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206492	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35394.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206515	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35965.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206455	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35372.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206438	StillImage	image/jpeg	http://www.kew.org/herbcatimg/80265.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206421	StillImage	image/jpeg	http://www.kew.org/herbcatimg/247119.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206507	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35971.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206530	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35966.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206446	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35366.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206481				http://specimens.kew.org/herbarium/K000230427									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206677	StillImage	image/jpeg	http://www.kew.org/herbcatimg/36092.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206500	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35391.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206520	StillImage	image/jpeg	http://www.kew.org/herbcatimg/35401.jpg										© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206620				http://specimens.kew.org/herbarium/K000230558									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
912206639				http://specimens.kew.org/herbarium/K000230568									© The Board of Trustees of the Royal Botanic Gardens, Kew.	
1259314635	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=33907	http://www.tropicos.org/ImageFullView.aspx?imageid=33907	Drège - 7584 - South Africa	isotype 1926517		MBG					http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1259314635	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=33908	http://www.tropicos.org/ImageFullView.aspx?imageid=33908	Drège - 7584 - South Africa	probable isotype 1926516		MBG					http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1259314635	StillImage	image/jpeg	http://www.tropicos.org/ImageDownload.aspx?imageid=33909	http://www.tropicos.org/ImageFullView.aspx?imageid=33909	Drège - 7584 - South Africa	isotype 1926519		MBG					http://creativecommons.org/licenses/by-nc-sa/3.0/	MBG
1055519717	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/6bf0fd4eb7bfb7d0a49440e788a35e1b39f96b3e/contents/preview		BM000552491								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1055519717	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/ad65b22c9c6678e97a514c0e174971690eab60a0/contents/preview		BM000552491								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
367043673				http://herbarium.univie.ac.at/database/image.php?filename=94109&method=show										
367043678				http://herbarium.univie.ac.at/database/image.php?filename=94111&method=show										
367043688				http://herbarium.univie.ac.at/database/image.php?filename=94261&method=show										
367043703				http://herbarium.univie.ac.at/database/image.php?filename=94251&method=show										
1144617560				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308214&dataTabIndex=1										
453639827	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/-W/12/13/B_-W_12133%20-00%200__3.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=127979									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
453639836	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/-W/12/12/B_-W_12127%20-00%200__3.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=127973									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865754	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/79/B_10_0153799.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23641									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865767	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/80/B_10_0153806.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23655									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865807	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/85/B_10_0153858.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23774									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865821	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/85/B_10_0153851.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23758									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
667524093	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385717104Nq74W1rRVan47xan										cc-by	
667616230	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385739543uLwCWSrlHufIomRk										cc-by	
667730546	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385717232asq5HJkZbNnPAylq										cc-by	
1078822915	StillImage	image/jpeg	http://pictures.snsb.info/TUBafrplantscoll/web/TUB-0006/TUB-000620_20061031_082826.jpg											
1078822919	StillImage	image/jpeg	http://pictures.snsb.info/TUBafrplantscoll/web/TUB-0006/TUB-000634_20061030_162219.jpg											
1230807803				http://herbarium.univie.ac.at/database/image.php?filename=94108&method=show										
1230822079				http://herbarium.univie.ac.at/database/image.php?filename=94208&method=show										
864897714	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/87/B_10_0153872.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23803									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
864897722	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/83/B_10_0153836.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23723									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
1055558317	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/1057427b913adbbe7e31b8179407490563f18ae6/contents/preview		BM000552477								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1055558317	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/d2e5cab172ce36469b05f233246cca5a1a27a95d/contents/preview		BM000552477								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1057049027	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/79b22efd6c6a81da94b7f1a0a505f3e514fb4092/contents/preview		BM000593515								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
1057049027	StillImage	image/tiff	http://www.nhm.ac.uk/services/media-store/asset/eeb7241ddb0981188136b30b5cb0849f1cb8c5f4/contents/preview		BM000593515								http://creativecommons.org/licenses/by/4.0/	The Trustees of the Natural History Museum, London
367043682				http://herbarium.univie.ac.at/database/image.php?filename=94125&method=show										
367043696				http://herbarium.univie.ac.at/database/image.php?filename=94208&method=show										
367043755				http://herbarium.univie.ac.at/database/image.php?filename=94115&method=show										
144853525	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/54/82/B_10_0154823.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23664									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865768	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/80/B_10_0153807.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23657									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
694313428	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441428117442tXZy1ozfLtvEg9RP										cc-by	
922040230		text/html		http://www.enjoynature.net/?bild=1536371141										
922040230		text/html		http://www.enjoynature.net/?bild=656648237										
667520545	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385895765KBIQ7uCxNNjAKwjK										cc-by	
667538150	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385740498bODadP07sYIiB0ua										cc-by	
667550020	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385872892LtLOKDnk1mLboq9C										cc-by	
667669336	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385916174aOnhEYetccejm3Wx										cc-by	
1144617538				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308186&dataTabIndex=1										
1144617540				http://data.gbif.ch/Search.action#/?dataDialog=on&dataId=4308205&dataTabIndex=1										
667669454	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385895570yDCIFfIa6242jbE3										cc-by	
667720533	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441385872656sF0DVIIDmWTpn0Oy										cc-by	
437318871	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1442309779160872Ap3zORuSQk7vq					Paris, Museum National d'Histoire Naturelle, VD					cc-by	
367043684				http://herbarium.univie.ac.at/database/image.php?filename=94212&method=show										
144865766	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/80/B_10_0153805.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23653									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
144865788	StillImage	image/jpeg	http://ww2.bgbm.org/herbarium/images/B/10/01/53/86/B_10_0153863.jpg	http://ww2.bgbm.org/herbarium/view_biocase.cfm?SpecimenPK=23783									Partial images provided by this server are released under the Creative Commons cc-by-sa 3.0 (generic) licence [http://creativecommons.org/licenses/by-sa/3.0/de/]. Please credit images to BGBM following our citation guidelines [http://ww2.bgbm.org/Herbarium/cite.cfm]. If you would like to use images in a format or resolution which is not provided here, please contact us (d.roepert[at]bgbm.org).	
